CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;QT_ACAO_ORDIN_CAP_INTEGR;QT_ACAO_PREF_CAP_INTEGR;QT_ACAO_TOTAL_CAP_INTEGR;QT_ACAO_ORDIN_TESOURO;QT_ACAO_PREF_TESOURO;QT_ACAO_TOTAL_TESOURO
01.917.818/0001-36;2025-03-31;1;LIGHT ENERGIA S.A.;77421581;0;77421581;0;0;0
01.917.818/0001-36;2025-06-30;1;LIGHT ENERGIA S.A.;77642271;0;77642271;0;0;0
01.917.818/0001-36;2025-09-30;1;LIGHT ENERGIA S.A.;77642271;0;77642271;0;0;0
01.938.783/0001-11;2025-03-31;1;CIA PARTICIPACOES ALIANCA DA BAHIA;9495733;9412283;18908016;2271;350;2621
01.938.783/0001-11;2025-06-30;1;CIA PARTICIPACOES ALIANCA DA BAHIA;9495733;9412283;18908016;2271;350;2621
01.938.783/0001-11;2025-09-30;1;CIA PARTICIPACOES ALIANCA DA BAHIA;9495733;9412283;18908016;2271;350;2621
01.957.772/0001-89;2025-03-31;1;SUL 116 PARTICIPACOES S.A.;83596903;0;83596903;0;0;0
01.957.772/0001-89;2025-06-30;1;SUL 116 PARTICIPACOES S.A.;83596903;0;83596903;0;0;0
01.957.772/0001-89;2025-09-30;1;SUL 116 PARTICIPACOES S.A.;83596903;0;83596903;0;0;0
01.968.293/0001-68;2025-03-31;1;ELETRORIVER S.A.;30829941;30829941;61659882;0;0;0
01.968.293/0001-68;2025-06-30;1;ELETRORIVER S.A.;30829941;30829941;61659882;0;0;0
01.968.293/0001-68;2025-09-30;1;ELETRORIVER S.A.;30829941;30829941;61659882;0;0;0
01.989.044/0001-59;2025-03-31;2;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;1000;0;1000;0;0;0
01.989.044/0001-59;2025-06-30;1;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;1000;0;1000;0;0;0
01.989.044/0001-59;2025-09-30;1;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;1000;0;1000;0;0;0
02.016.440/0001-62;2025-03-31;1;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;1125427;0;1125427;0;0;0
02.016.440/0001-62;2025-06-30;1;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;1125427;0;1125427;0;0;0
02.016.440/0001-62;2025-09-30;1;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;1125427;0;1125427;0;0;0
02.016.507/0001-69;2025-03-31;1;AXIA ENERGIA SUL S.A.;499362292202;0;499362292202;6540876;0;6540876
02.016.507/0001-69;2025-06-30;1;AXIA ENERGIA SUL S.A.;499362292202;0;499362292202;6540876;0;6540876
02.016.507/0001-69;2025-09-30;1;AXIA ENERGIA SUL S.A.;499362292202;0;499362292202;6540876;0;6540876
02.041.460/0001-93;2025-03-31;1;V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.;37633780974;0;37633780974;0;0;0
02.041.460/0001-93;2025-06-30;1;V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.;37633780974;0;37633780974;0;0;0
02.041.460/0001-93;2025-09-30;1;V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.;37964973947;0;37964973947;0;0;0
02.062.747/0001-08;2025-03-31;1;SUDESTE S.A.;7521985933556;0;7521985933556;0;0;0
02.062.747/0001-08;2025-06-30;1;SUDESTE S.A.;7530483602362;0;7530483602362;0;0;0
02.062.747/0001-08;2025-09-30;1;SUDESTE S.A.;7530483602362;0;7530483602362;0;0;0
02.149.205/0001-69;2025-03-31;1;PORTO SEGURO S.A.;646586;0;646586;4602;0;4602
02.149.205/0001-69;2025-06-30;1;PORTO SEGURO S.A.;646586;0;646586;2948;0;2948
02.149.205/0001-69;2025-09-30;1;PORTO SEGURO S.A.;646586;0;646586;4360;0;4360
02.193.750/0001-52;2025-03-31;1;DEXXOS PARTICIPAÇÕES S.A.;103538833;5771805;109310638;741581;361279;1102860
02.193.750/0001-52;2025-06-30;1;DEXXOS PARTICIPAÇÕES S.A.;103538833;5771805;109310638;1018281;361279;1379560
02.193.750/0001-52;2025-09-30;1;DEXXOS PARTICIPAÇÕES S.A.;103538833;5771805;109310638;1379881;361279;1741160
02.201.787/0001-85;2025-03-31;1;CEL PARTICIPAÇÕES S.A. - CELPAR;2609000;30;2609030;0;0;0
02.201.787/0001-85;2025-06-30;1;CEL PARTICIPAÇÕES S.A. - CELPAR;2609000;30;2609030;0;0;0
02.201.787/0001-85;2025-09-30;1;CEL PARTICIPAÇÕES S.A. - CELPAR;26090000;30;26090030;0;0;0
02.217.319/0001-07;2025-03-31;3;YBYRÁ CAPITAL S.A.;116754000;116754000;233508000;0;0;0
02.217.319/0001-07;2025-06-30;1;YBYRÁ CAPITAL S.A.;116574000;116574000;233148000;0;0;0
02.217.319/0001-07;2025-09-30;1;YBYRÁ CAPITAL S.A.;116574000;116574000;233148000;0;0;0
02.255.187/0001-08;2025-03-31;1;UNIFIQUE TELECOMUNICAÇÕES S.A.;362049609;0;362049609;9000041;0;9000041
02.255.187/0001-08;2025-06-30;1;UNIFIQUE TELECOMUNICAÇÕES S.A.;362049609;0;362049609;8945041;0;8945041
02.255.187/0001-08;2025-09-30;1;UNIFIQUE TELECOMUNICAÇÕES S.A.;362049609;0;362049609;8945041;0;8945041
02.258.422/0001-97;2025-03-31;1;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;246386;66035;312421;0;0;0
02.258.422/0001-97;2025-06-30;1;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;246386;66035;312421;0;0;0
02.258.422/0001-97;2025-09-30;1;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;246386;66035;312421;0;0;0
02.281.836/0001-37;2025-03-31;1;TRANSNORDESTINA LOGISTICA SA;28313622;27649471;55963093;0;0;0
02.281.836/0001-37;2025-06-30;1;TRANSNORDESTINA LOGISTICA SA;28313622;27649471;55963093;0;0;0
02.281.836/0001-37;2025-09-30;1;TRANSNORDESTINA LOGISTICA SA;47048168;46952936;94001104;0;0;0
02.286.479/0001-08;2025-03-31;1;LOCALIZA FLEET S.A.;637869842;0;637869842;0;0;0
02.286.479/0001-08;2025-06-30;1;LOCALIZA FLEET S.A.;637869842;0;637869842;0;0;0
02.286.479/0001-08;2025-09-30;1;LOCALIZA FLEET S.A.;637869842;0;637869842;0;0;0
02.291.077/0001-93;2025-03-31;1;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;100;0;100;0;0;0
02.291.077/0001-93;2025-06-30;1;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;100;0;100;0;0;0
02.291.077/0001-93;2025-09-30;1;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;100;0;100;0;0;0
02.302.100/0001-06;2025-03-31;1;EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.;31091735;0;31091735;0;0;0
02.302.100/0001-06;2025-06-30;1;EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.;39091735;0;39091735;0;0;0
02.302.100/0001-06;2025-09-30;1;EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.;39091735;0;39091735;0;0;0
02.302.101/0001-42;2025-03-31;1;EMAE - EMPRESA METROP. DE AGUAS E ENERGIA S.A.;14705;22242;36947;0;0;0
02.302.101/0001-42;2025-06-30;1;EMAE - EMPRESA METROP. DE AGUAS E ENERGIA S.A.;14705;22241;36946;0;0;0
02.302.101/0001-42;2025-09-30;1;EMAE - EMPRESA METROP. DE AGUAS E ENERGIA S.A.;14705;22241;36946;0;0;0
02.328.280/0001-97;2025-03-31;1;ELEKTRO REDES S.A.;91881;101878;193759;0;0;0
02.328.280/0001-97;2025-06-30;1;ELEKTRO REDES S.A.;91881;101878;193759;0;0;0
02.328.280/0001-97;2025-09-30;1;ELEKTRO REDES S.A.;91881;101878;193759;0;0;0
02.338.534/0001-58;2025-03-31;1;LONGDIS S.A.;11035292;0;11035292;0;0;0
02.338.534/0001-58;2025-06-30;1;LONGDIS S.A.;11238268;0;11238268;0;0;0
02.338.534/0001-58;2025-09-30;1;LONGDIS S.A.;11238268;0;11238268;0;0;0
02.351.144/0001-18;2025-03-31;1;TEGMA GESTAO LOGISTICA S.A.;66002915;0;66002915;65143;0;65143
02.351.144/0001-18;2025-06-30;1;TEGMA GESTAO LOGISTICA S.A.;66002915;0;66002915;65143;0;65143
02.351.144/0001-18;2025-09-30;1;TEGMA GESTAO LOGISTICA S.A.;66002915;0;66002915;65143;0;65143
02.351.877/0001-52;2025-03-31;1;LWSA S/A;562886478;0;562886478;13104107;0;13104107
02.351.877/0001-52;2025-06-30;1;LWSA S/A;565999206;0;565999206;17580907;0;17580907
02.351.877/0001-52;2025-09-30;1;LWSA S/A;565999206;0;565999206;15031331;0;15031331
02.357.251/0001-53;2025-03-31;1;LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A;2576438;0;2576438;0;0;0
02.357.251/0001-53;2025-06-30;1;LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A;2576438;0;2576438;0;0;0
02.357.251/0001-53;2025-09-30;1;LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A;2576438;0;2576438;0;0;0
02.365.069/0001-44;2025-03-31;1;PADTEC HOLDING S.A.;79469626;0;79469626;0;0;0
02.365.069/0001-44;2025-06-30;1;PADTEC HOLDING S.A.;79469626;0;79469626;0;0;0
02.365.069/0001-44;2025-09-30;1;PADTEC HOLDING S.A.;79469626;0;79469626;0;0;0
02.382.073/0001-10;2025-03-31;1;PROLAGOS S/A - CONC.DE SERVICOS PÚBLICOS DE ÁGUA E ESGOTO;342985643;0;342985643;0;0;0
